,delay[s]
415,0.087
416,0.237
417,0.072
418,0.068
419,0.182
420,0.054
421,0.264
422,0.066
423,0.151
424,0.094
425,0.027
426,0.222
427,0.05
428,0.359
429,0.188
430,0.083
431,0.138
432,0.077
433,0.067
434,0.009
435,0.315
436,0.15
437,0.093
438,0.087
439,0.167
440,0.092
441,0.031
442,0.56
443,0.22
444,0.183
445,0.331
446,0.218
447,0.122
448,0.111
449,0.2
450,0.208
451,0.031
452,0.085
453,0.224
454,0.103
455,0.225
456,0.308
457,0.305
458,0.212
459,0.147
460,0.115
461,0.339
462,0.14
463,0.217
464,0.382
465,0.081
466,0.125
467,0.102
468,0.189
469,0.07
470,0.351
471,0.268
472,0.125
473,0.127
474,0.165
475,0.015
476,0.364
477,0.19
478,0.111
479,0.501
480,0.069
481,0.191
482,0.091
483,0.075
484,0.21
485,0.433
486,0.167
487,0.121
488,0.1
489,0.041
490,0.159
491,0.196
492,0.1
493,0.047
494,0.512
495,0.194
496,0.015
497,0.5
498,0.127
499,0.414
500,0.213
501,0.113
502,0.065
503,0.111
504,0.134
505,0.091
506,0.098
507,0.231
508,0.315
509,0.272
510,0.249
511,0.169
512,0.166
513,0.005
514,0.153
515,0.117
516,0.22
517,0.057
518,0.065
519,0.125
520,0.1
521,0.04
522,0.24
523,0.072
524,0.417
525,0.151
526,0.181
527,0.218
528,0.157
529,0.478
530,0.467
531,0.159
532,0.235
533,0.073
534,0.106
535,0.099
536,0.112
537,0.18
538,0.142
539,0.16
540,0.107
541,0.169
542,0.169
543,0.092
544,0.075
545,0.067
546,0.076
547,0.26
548,0.307
549,0.139
550,0.114
551,0.289
552,0.069
553,0.329
554,0.323
555,0.062
556,0.134
557,0.134
558,0.365
559,0.14
560,0.267
561,0.051
562,0.088
563,0.206
564,0.309
565,0.087
566,0.238
567,0.046
568,0.488
569,0.075
570,0.119
571,0.193
572,0.033
573,0.114
574,0.128
575,0.159
576,0.032
577,0.036
578,0.092
579,0.08
580,0.405
581,0.281
582,0.327
583,0.079
584,0.128
585,0.184
586,0.051
587,0.118
588,0.056
589,0.346
590,0.069
591,0.113
592,0.433
593,0.075
594,0.091
595,0.447
596,0.197
597,0.231
598,0.089
599,0.195
600,0.112
601,0.25
602,0.188
603,0.413
604,0.138
605,0.069
606,0.12
607,0.185
608,0.072
609,0.175
610,0.119
611,0.183
612,0.151
613,0.234
614,0.138
615,0.18
616,0.157
617,0.302
618,0.242
619,0.205
620,0.142
621,0.197
622,0.372
623,0.387
624,0.147
625,0.068
626,0.114
627,0.057
628,0.065
629,0.304
630,0.54
631,0.114
632,0.226
633,0.091
634,0.879
635,0.067
636,0.387
637,0.115
638,0.168
639,0.142
640,0.16
641,0.047
642,0.515
643,0.371
644,0.104
645,0.19
646,0.047
647,0.173
648,0.135
649,0.214
650,0.182
651,0.145
652,0.128
653,0.096
654,0.06
655,0.087
656,0.108
657,0.197
658,0.099
659,0.245
660,0.05
661,0.369
662,0.105
663,0.156
664,0.282
665,0.139
666,0.098
667,0.319
668,0.126
669,0.308
670,0.125
671,0.024
672,0.134
673,0.411
674,0.134
675,0.063
676,0.361
677,0.064
678,0.158
679,0.217
680,0.323
681,0.121
682,0.133
683,0.221
684,0.118
685,0.126
686,0.149
687,0.33
688,0.044
689,0.444
690,0.074
691,0.15
692,0.125
693,0.011
694,0.307
695,0.152
696,0.162
697,0.127
698,0.501
699,0.1
700,0.186
701,0.126
702,0.196
703,0.029
704,0.335
705,0.226
706,0.276
707,0.077
708,0.161
709,0.027
710,0.346
711,0.183
712,0.606
713,0.337
714,0.062
715,0.486
716,0.17
717,0.391
718,0.089
719,0.182
720,0.33
721,0.233
722,0.241
723,0.086
724,0.166
725,0.133
726,0.363
727,0.135
728,0.098
729,0.458
730,0.099
731,0.141
732,0.049
733,0.363
734,0.17
735,0.097
736,0.125
737,0.122
738,0.172
739,0.371
740,0.187
741,0.165
742,0.02
743,0.159
744,0.137
745,0.129
746,0.257
747,0.506
748,0.474
749,0.081
750,0.147
751,0.154
752,0.051
753,0.075
754,0.131
755,0.53
756,0.033
757,0.101
758,0.083
759,0.024
760,0.185
761,0.2
762,0.149
763,0.03
764,0.114
765,0.122
766,0.262
767,0.326
768,0.1
769,0.252
770,0.385
771,0.08
772,0.198
773,0.254
774,0.083
775,0.079
776,0.12
777,0.372
778,0.031
779,0.116
780,0.12
781,0.334
782,0.139
783,0.32
784,0.249
785,0.136
786,0.141
787,0.056
788,0.076
789,0.042
790,0.076
791,0.115
792,0.204
793,0.561
794,0.172
795,0.179
796,0.127
797,0.055
798,0.143
799,0.021
800,0.152
801,0.093
802,0.171
803,0.083
804,0.169
805,0.069
806,0.119
807,0.094
808,0.256
809,0.066
810,0.152
811,0.19
812,0.097
813,0.026
814,0.066
815,0.203
816,0.149
817,0.018
818,0.164
819,0.129
820,0.162
821,0.388
822,0.14
823,0.271
824,0.101
825,0.08
826,0.078
827,0.044
828,0.451
829,0.046
830,0.103
831,0.205
832,0.095
833,0.109
834,0.307
835,0.122
836,0.017
837,0.247
838,0.176
839,0.408
840,0.182
841,0.058
842,0.243
843,0.138
844,0.042
845,0.372
846,0.26
847,0.115
848,0.28
849,0.088
850,0.064
851,0.086
852,0.108
853,0.109
854,0.583
855,0.12
856,0.213
857,0.082
858,0.027
859,0.109
860,0.508
861,0.052
862,0.191
863,0.105
864,0.324
865,0.122
866,0.113
867,0.223
868,0.097
869,0.298
870,0.048
871,0.079
872,0.26
873,0.062
874,0.336
875,0.132
876,0.324
877,0.139
878,0.088
879,0.085
880,0.135
881,0.144
882,0.132
883,0.436
884,0.128
885,0.121
886,0.055
887,0.168
888,0.501
889,0.141
890,0.082
891,0.112
892,0.1
893,0.243
894,0.109
895,0.043
896,0.51
897,0.077
898,0.523
899,0.084
900,0.089
901,0.176
902,0.111
903,0.121
904,0.092
905,0.242
906,0.268
907,0.053
908,0.015
909,0.223
910,0.228
911,0.075
912,0.205
913,0.135
914,0.369
915,0.059
916,0.03
917,0.392
918,0.038
919,0.155
920,0.213
921,0.315
922,0.008
923,0.107
924,0.232
925,0.133
926,0.207
927,0.112
928,0.159
929,0.311
930,0.08
931,0.098
932,0.128
933,0.239
934,0.084
935,0.076
936,0.103
937,0.087
938,0.487
939,0.069
940,0.097
941,0.16
942,0.328
943,0.475
944,0.128
945,0.188
946,0.145
947,0.078
948,0.124
949,0.611
950,0.138
951,0.152
952,0.059
953,0.067
954,0.115
955,0.149
956,0.008
957,0.082
958,0.087
959,0.186
960,0.283
961,0.346
962,0.052
963,0.137
964,0.171
965,0.136
966,0.172
967,0.27
968,0.128
969,0.109
970,0.032
971,0.078
972,0.386
973,0.364
974,0.094
975,0.247
976,0.257
977,0.33
978,0.098
979,0.139
980,0.213
981,0.072
982,0.167
983,0.109
984,0.089
985,0.028
986,0.107
987,0.157
988,0.122
989,0.273
990,0.135
991,0.13
992,0.058
993,0.1
994,0.236
995,0.056
996,0.295
997,0.127
998,0.105
999,0.08
1000,0.068
1001,0.088
1002,0.131
1003,0.117
1004,0.108
1005,0.308
1006,0.204
1007,0.241
1008,0.086
1009,0.381
1010,0.062
1011,0.043
1012,0.074
1013,0.106
1014,0.085
1015,0.27
1016,0.472
1017,0.203
1018,0.176
1019,0.111
1020,0.195
1021,0.292
1022,0.026
1023,0.084
1024,0.267
1025,0.08
1026,0.196
1027,0.041
1028,0.136
1029,0.23
1030,0.155
1031,0.456
1032,0.376
1033,0.062
1034,0.279
1035,0.129
1036,0.109
1037,0.167
1038,0.255
1039,0.173
1040,0.514
1041,0.073
1042,0.027
1043,0.136
1044,0.092
1045,0.095
1046,0.178
1047,0.113
1048,0.091
1049,0.507
1050,0.079
1051,0.122
1052,0.25
1053,0.068
1054,0.169
1055,0.217
1056,0.206
1057,0.185
1058,0.238
1059,0.072
1060,0.089
1061,0.008
1062,0.053
1063,0.151
1064,0.045
1065,0.337
1066,0.22
1067,0.104
1068,0.265
1069,0.066
1070,0.147
1071,0.084
1072,0.175
1073,0.137
1074,0.111
1075,0.096
1076,0.27
1077,0.167
1078,0.155
1079,0.227
1080,0.035
1081,0.085
1082,0.048
1083,0.076
1084,0.099
1085,0.219
1086,0.064
1087,0.125
1088,0.146
1089,0.034
1090,0.343
1091,0.076
1092,0.346
1093,0.188
1094,0.357
1095,0.184
1096,0.128
1097,0.063
1098,0.46
1099,0.202
1100,0.206
1101,0.188
1102,0.108
1103,0.106
1104,0.635
1105,0.168
1106,0.32
1107,0.112
1108,0.119
1109,0.254
1110,0.142
1111,0.113
1112,0.115
1113,0.094
1114,0.712
1115,0.015
1116,0.095
1117,0.646
1118,0.448
1119,0.069
1120,0.14
1121,0.072
1122,0.069
1123,0.145
1124,0.057
1125,0.118
1126,0.048
1127,0.597
1128,0.178
1129,0.103
1130,0.151
1131,0.161
1132,0.108
1133,0.098
1134,0.192
1135,0.065
1136,0.043
1137,0.11
1138,0.066
1139,0.182
1140,0.075
1141,0.177
1142,0.203
1143,0.02
1144,0.075
1145,0.198
1146,0.278
1147,0.285
1148,0.191
1149,0.093
1150,0.167
1151,0.147
1152,0.134
1153,0.255
1154,0.375
1155,0.087
1156,0.447
1157,0.131
1158,0.12
1159,0.061
1160,0.162
1161,0.106
1162,0.093
1163,0.119
1164,0.069
1165,0.943
1166,0.299
1167,0.222
1168,0.386
1169,0.054
1170,0.253
1171,0.076
1172,0.38
1173,0.071
1174,0.168
1175,0.316
1176,0.133
1177,0.356
1178,0.146
1179,0.245
1180,0.088
1181,0.275
1182,0.683
1183,0.256
1184,0.097
1185,0.57
1186,0.086
1187,0.348
1188,0.351
1189,0.148
1190,0.271
1191,0.13
1192,0.105
1193,0.22
1194,0.134
1195,0.096
1196,0.162
1197,0.188
1198,0.205
1199,0.541
1200,0.159
1201,0.095
1202,0.229
1203,0.136
1204,0.161
1205,0.297
1206,0.167
1207,0.318
1208,0.042
1209,0.109
1210,0.183
1211,0.111
1212,0.247
1213,0.062
1214,0.13
1215,0.152
1216,0.134
1217,0.066
1218,0.041
1219,0.289
1220,0.279
1221,0.038
1222,0.18
1223,0.41
1224,0.085
1225,0.227
1226,0.163
1227,0.06
1228,0.178
1229,0.25
1230,0.159
1231,0.057
1232,0.142
1233,0.253
1234,0.411
1235,0.047
1236,0.365
1237,0.178
1238,0.263
1239,0.119
1240,0.254
1241,0.286
1242,0.057
1243,0.025
1244,0.176
1245,0.713
1246,0.067
1247,0.033
1248,0.146
1249,0.183
1250,0.067
1251,0.257
1252,0.159
1253,0.147
1254,0.164
1255,0.315
1256,0.116
1257,0.408
1258,0.036
1259,0.264
1260,0.238
1261,0.14
1262,0.191
1263,0.17
1264,0.148
1265,0.169
1266,0.036
1267,0.085
1268,0.032
1269,0.178
1270,0.278
1271,0.052
1272,0.104
1273,0.162
1274,0.255
1275,0.208
1276,0.258
1277,0.138
1278,0.066
1279,0.153
1280,0.017
1281,0.34
1282,0.032
1283,0.133
1284,0.065
1285,0.254
1286,0.198
1287,0.281
1288,0.493
1289,0.08
1290,0.164
1291,0.026
1292,0.125
1293,0.208
1294,0.154
1295,0.095
1296,0.167
1297,0.17
1298,0.142
1299,0.168
1300,0.15
1301,0.257
1302,0.1
1303,0.291
1304,0.393
1305,0.094
1306,0.057
1307,0.118
1308,0.095
1309,0.345
1310,0.205
1311,0.167
1312,0.219
1313,0.046
1314,0.429
1315,0.057
1316,0.034
1317,0.115
1318,0.17
1319,0.083
1320,0.253
1321,0.208
1322,0.105
1323,0.085
1324,0.417
1325,0.24
1326,0.183
1327,0.236
1328,0.151
1329,0.12
1330,0.32
1331,0.022
1332,0.063
1333,0.462
1334,0.321
1335,0.136
1336,0.028
1337,0.147
1338,0.168
1339,0.068
1340,0.596
1341,0.025
1342,0.046
1343,0.048
1344,0.192
1345,0.078
1346,0.12
1347,0.145
1348,0.04
1349,0.228
1350,0.126
1351,0.097
1352,0.171
1353,0.044
1354,0.242
1355,0.162
1356,0.273
1357,0.301
1358,0.009
1359,0.394
1360,0.058
1361,0.592
1362,0.108
1363,0.099
1364,0.263
1365,0.312
1366,0.243
1367,0.286
1368,0.103
1369,0.152
1370,0.074
1371,0.098
1372,0.314
1373,0.11
1374,0.508
1375,0.123
1376,0.188
1377,0.148
1378,0.052
1379,0.164
1380,0.039
1381,0.156
1382,0.216
1383,0.122
1384,0.135
1385,0.215
1386,0.058
1387,0.151
1388,0.245
1389,0.399
1390,0.117
1391,0.118
1392,0.176
1393,0.055
1394,0.11
1395,0.146
1396,0.148
1397,0.115
1398,0.022
1399,0.176
1400,0.095
1401,0.092
1402,0.156
1403,0.033
1404,0.085
1405,0.241
1406,0.31
1407,0.128
1408,0.079
1409,0.191
1410,0.135
1411,0.152
1412,0.066
1413,0.326
1414,0.096
1415,0.107
1416,0.117
1417,0.105
1418,0.084
1419,0.048
1420,0.169
1421,0.155
1422,0.109
1423,0.186
1424,0.096
1425,0.045
1426,0.231
1427,0.17
1428,0.201
1429,0.073
1430,0.137
1431,0.072
1432,0.27
1433,0.125
1434,0.212
1435,0.118
1436,0.234
1437,0.087
1438,0.22
1439,0.051
1440,0.129
1441,0.171
1442,0.284
1443,0.211
1444,0.121
1445,0.09
1446,0.167
1447,0.145
1448,0.199
1449,0.119
1450,0.069
1451,0.091
1452,0.049
1453,0.164
1454,0.08
1455,0.113
1456,0.444
1457,0.168
1458,0.31
1459,0.281
1460,0.5
1461,0.07
1462,0.506
1463,0.097
1464,0.16
1465,0.048
1466,0.055
1467,0.004
1468,0.206
1469,0.247
1470,0.171
1471,0.13
1472,0.156
1473,0.297
1474,0.105
1475,0.491
1476,0.132
1477,0.047
1478,0.108
1479,0.197
1480,0.062
1481,0.26
1482,0.043
1483,0.086
1484,0.147
1485,0.313
1486,0.093
1487,0.206
1488,0.327
1489,0.522
1490,0.108
1491,0.143
1492,0.033
1493,0.19
1494,0.261
1495,0.206
1496,0.128
1497,0.287
1498,0.083
1499,0.256
1500,0.106
1501,0.616
1502,0.189
1503,0.134
1504,0.071
1505,0.093
1506,0.13
1507,0.176
1508,0.043
1509,0.113
1510,0.087
1511,0.209
1512,0.13
1513,0.19
1514,0.103
1515,0.027
1516,0.276
1517,0.092
1518,0.113
1519,0.321
1520,0.229
1521,0.074
1522,0.345
1523,0.186
1524,0.277
1525,0.252
1526,0.091
1527,0.122
1528,0.13
1529,0.17
1530,0.12
1531,0.208
1532,0.118
1533,0.144
1534,0.068
1535,0.291
1536,0.224
1537,0.159
1538,0.064
1539,0.139
1540,0.135
1541,0.095
1542,0.165
1543,0.18
1544,0.104
1545,0.196
1546,0.178
1547,0.155
1548,0.076
1549,0.261
1550,0.128
1551,0.123
1552,0.308
1553,0.161
1554,0.299
1555,0.077
1556,0.042
1557,0.562
1558,0.073
1559,0.231
1560,0.171
1561,0.381
1562,0.327
1563,0.007
1564,0.089
1565,0.043
1566,0.245
1567,0.133
1568,0.187
1569,0.234
1570,0.164
1571,0.192
1572,0.116
1573,0.055
1574,0.313
1575,0.416
1576,0.138
1577,0.148
1578,0.212
1579,0.194
1580,0.449
1581,0.533
1582,0.041
1583,0.124
1584,0.009
1585,0.053
1586,0.102
1587,0.289
1588,0.296
1589,0.126
1590,0.291
1591,0.043
1592,0.107
1593,0.046
1594,0.346
1595,0.254
1596,0.177
1597,0.506
1598,0.082
1599,0.046
1600,0.106
1601,0.102
1602,0.354
1603,0.06
1604,0.412
1605,0.271
1606,0.08
1607,0.011
1608,0.083
1609,0.193
1610,0.09
1611,0.185
1612,0.495
1613,0.144
1614,0.069
1615,0.284
1616,0.358
1617,0.328
1618,0.037
1619,0.075
1620,0.135
1621,0.539
1622,0.364
1623,0.082
1624,0.244
1625,0.079
1626,0.172
1627,0.091
1628,0.041
1629,0.051
1630,0.336
1631,0.111
1632,0.111
1633,0.044
1634,0.083
1635,0.122
1636,0.063
1637,0.226
1638,0.218
1639,0.15
1640,0.099
1641,0.088
1642,0.178
1643,0.208
1644,0.2
1645,0.167
1646,0.083
1647,0.024
1648,0.044
1649,0.111
1650,0.161
1651,0.069
1652,0.304
1653,0.466
1654,0.451
1655,0.098
1656,0.15
1657,0.219
1658,0.035
1659,0.061
1660,0.081
1661,0.109
1662,0.034
1663,0.077
1664,0.168
1665,0.081
1666,0.242
1667,0.366
1668,0.254
1669,0.303
1670,0.026
1671,0.259
1672,0.101
1673,0.133
1674,0.056
1675,0.122
1676,0.07
1677,0.44
1678,0.283
1679,0.09
1680,0.319
1681,0.055
1682,0.018
1683,0.095
1684,0.095
1685,0.072
1686,0.137
1687,0.541
1688,0.11
1689,0.291
1690,0.091
1691,0.106
1692,0.539
1693,0.237
1694,0.131
1695,0.313
1696,0.134
1697,0.378
1698,0.143
1699,0.146
1700,0.199
1701,0.351
1702,0.046
1703,0.299
1704,0.191
1705,0.13
1706,0.288
1707,0.159
1708,0.095
1709,0.326
1710,0.196
1711,0.039
1712,0.073
1713,0.11
1714,0.209
1715,0.463
1716,0.168
1717,0.092
1718,0.194
1719,0.059
1720,0.202
1721,0.059
1722,0.069
1723,0.126
1724,0.07
1725,0.096
1726,0.171
1727,0.255
1728,0.115
1729,0.085
1730,0.375
1731,0.033
1732,0.144
1733,0.149
1734,0.087
1735,0.2
1736,0.062
1737,0.581
1738,0.094
1739,0.327
1740,0.278
1741,0.386
1742,0.237
1743,0.054
1744,0.212
1745,0.048
1746,0.066
1747,0.007
1748,0.61
1749,0.266
1750,0.292
1751,0.041
1752,0.162
1753,0.113
1754,0.119
1755,0.063
1756,0.067
1757,0.143
1758,0.092
1759,0.061
1760,0.349
1761,0.182
1762,0.168
1763,0.118
1764,0.194
1765,0.117
1766,0.198
1767,0.182
1768,0.24
1769,0.06
1770,0.09
1771,0.074
1772,0.083
1773,0.093
1774,0.085
1775,0.206
1776,0.17
1777,0.309
1778,0.03
1779,0.133
1780,0.109
1781,0.138
1782,0.137
1783,0.197
1784,0.134
1785,0.261
1786,0.035
1787,0.044
1788,0.258
1789,0.252
1790,0.066
1791,0.107
1792,0.162
1793,0.141
1794,0.416
1795,0.106
1796,0.314
1797,0.22
1798,0.092
1799,0.168
1800,0.097
1801,0.253
1802,0.162
1803,0.135
1804,0.344
1805,0.099
1806,0.512
1807,0.241
1808,0.038
1809,0.127
1810,0.43
1811,0.093
1812,0.228
1813,0.15
1814,0.068
1815,0.086
1816,0.03
1817,0.032
1818,0.26
1819,0.157
1820,0.216
1821,0.088
1822,0.064
1823,0.048
1824,0.157
1825,0.17
1826,0.156
1827,0.442
1828,0.39
1829,0.089
1830,0.226
1831,0.015
1832,0.173
1833,0.364
1834,0.083
1835,0.351
1836,0.016
1837,0.102
1838,0.108
1839,0.233
1840,0.194
1841,0.089
1842,0.468
1843,0.037
1844,0.188
1845,0.544
1846,0.032
1847,0.261
1848,0.137
1849,0.217
1850,0.04
1851,0.337
1852,0.014
1853,0.064
1854,0.251
1855,0.116
1856,0.085
1857,0.415
1858,0.406
1859,0.167
1860,0.198
1861,0.444
1862,0.166
1863,0.12
1864,0.089
1865,0.025
1866,0.112
1867,0.066
1868,0.209
1869,0.089
1870,0.663
1871,0.536
1872,0.37
1873,0.097
1874,0.277
1875,0.045
1876,0.141
1877,0.152
1878,0.048
1879,0.059
1880,0.565
1881,0.028
1882,0.119
1883,0.031
1884,0.268
1885,0.041
1886,0.076
1887,0.076
1888,0.244
1889,0.354
1890,0.083
1891,0.092
1892,0.06
1893,0.052
1894,0.14
1895,0.114
1896,0.146
1897,0.048
1898,0.126
1899,0.136
1900,0.137
1901,0.055
1902,0.19
1903,0.311
1904,0.165
1905,0.247
1906,0.104
1907,0.197
1908,0.461
1909,0.135
1910,0.042
1911,0.04
1912,0.067
1913,0.274
1914,0.094
1915,0.016
1916,0.048
1917,0.13
1918,0.268
1919,0.13
1920,0.176
1921,0.127
1922,0.194
1923,0.123
1924,0.087
1925,0.119
1926,0.002
1927,0.256
1928,0.318
1929,0.307
1930,0.054
1931,0.142
1932,0.107
1933,0.233
1934,0.301
1935,0.09
1936,0.245
1937,0.276
1938,0.141
1939,0.332
1940,0.15
1941,0.088
1942,0.496
1943,0.227
1944,0.035
1945,0.124
1946,0.135
1947,0.142
1948,0.364
1949,0.067
1950,0.047
1951,0.093
1952,0.194
1953,0.373
1954,0.107
1955,0.088
1956,0.381
1957,0.071
1958,0.108
1959,0.38
1960,0.047
1961,0.049
1962,0.237
1963,0.988
1964,0.122
1965,0.698
1966,0.084
1967,0.135
1968,0.083
1969,0.412
1970,0.214
1971,0.321
1972,0.104
1973,0.216
1974,0.102
1975,0.1
1976,0.513
1977,0.071
1978,0.258
1979,0.32
1980,0.121
1981,0.322
1982,0.387
1983,0.121
1984,0.223
1985,0.329
1986,0.069
1987,0.12
1988,0.111
1989,0.021
1990,0.1
1991,0.132
1992,0.144
1993,0.345
1994,0.138
1995,0.077
1996,0.138
1997,0.189
1998,0.231
1999,0.063
2000,0.451
2001,0.108
2002,0.109
2003,0.063
2004,0.252
2005,0.094
2006,0.359
2007,0.157
2008,0.162
2009,0.114
2010,0.052
2011,0.157
2012,0.414
2013,0.229
2014,0.036
2015,0.113
2016,0.144
2017,0.165
2018,0.235
2019,0.117
2020,0.236
2021,1.042
2022,0.144
2023,0.375
2024,0.115
2025,0.096
2026,0.147
2027,0.031
2028,0.005
2029,0.136
2030,0.118
2031,0.203
2032,0.164
2033,0.078
2034,0.233
2035,0.116
2036,0.068
2037,0.187
2038,0.117
2039,0.432
2040,0.125
2041,0.273
2042,0.282
2043,0.061
2044,0.067
2045,0.113
2046,0.269
2047,0.596
2048,0.168
2049,0.094
2050,0.053
2051,0.037
2052,0.157
2053,0.323
2054,0.079
2055,0.496
2056,0.232
2057,0.161
2058,0.329
2059,0.214
2060,0.201
2061,0.254
2062,0.267
2063,0.076
2064,0.247
2065,0.285
2066,0.205
2067,0.102
2068,0.248
2069,0.061
2070,0.065
2071,0.065
2072,0.165
2073,0.071
2074,0.109
2075,0.057
2076,0.147
2077,0.123
2078,0.052
2079,0.081
2080,0.094
2081,0.236
2082,0.441
2083,0.611
2084,0.031
2085,0.136
2086,0.468
2087,0.111
2088,0.099
2089,0.221
2090,0.455
2091,0.051
2092,0.067
2093,0.482
2094,0.132
2095,0.481
2096,0.195
2097,0.046
2098,0.104
2099,0.045
2100,0.096
2101,0.346
2102,0.353
2103,0.377
2104,0.235
2105,0.113
2106,0.665
2107,0.054
2108,0.475
2109,0.313
2110,0.306
2111,0.046
2112,0.145
2113,0.038
2114,0.246
2115,0.13
2116,0.099
2117,0.023
2118,0.07
2119,0.215
2120,0.454
2121,0.166
2122,0.059
2123,0.3
2124,0.274
2125,0.139
2126,0.193
2127,0.124
2128,0.167
2129,0.182
2130,0.106
2131,0.159
2132,0.253
2133,0.183
2134,0.097
2135,0.134
2136,0.083
2137,0.117
2138,0.283
2139,0.161
